Time, value
0.00012207,1.00000000
0.00024414,0.99706007
0.00036621,0.98825757
0.00048828,0.97364425
0.00061035,0.95330604
0.00073242,0.92736253
0.00085449,0.89596625
0.00097656,0.85930182
0.00109863,0.81758481
0.00122070,0.77106052
0.00134277,0.72000251
0.00146484,0.66471098
0.00158691,0.60551104
0.00170898,0.54275078
0.00183105,0.47679923
0.00195312,0.40804416
0.00207520,0.33688985
0.00219727,0.26375468
0.00231934,0.18906866
0.00244141,0.11327095
0.00256348,0.03680722
0.00268555,-0.03987293
0.00280762,-0.11631863
0.00292969,-0.19208040
0.00305176,-0.26671276
0.00317383,-0.33977688
0.00329590,-0.41084317
0.00341797,-0.47949376
0.00354004,-0.54532499
0.00366211,-0.60794978
0.00378418,-0.66699992
0.00390625,-0.72212819
0.00402832,-0.77301045
0.00415039,-0.81934752
0.00427246,-0.86086694
0.00439453,-0.89732458
0.00451660,-0.92850608
0.00463867,-0.95422810
0.00476074,-0.97433938
0.00488281,-0.98872169
0.00500488,-0.99729046
0.00512695,-0.99999529
0.00524902,-0.99682030
0.00537109,-0.98778414
0.00549316,-0.97293995
0.00561523,-0.95237501
0.00573730,-0.92621024
0.00585938,-0.89459949
0.00598145,-0.85772861
0.00610352,-0.81581441
0.00622559,-0.76910334
0.00634766,-0.71787005
0.00646973,-0.66241578
0.00659180,-0.60306660
0.00671387,-0.54017147
0.00683594,-0.47410021
0.00695801,-0.40524131
0.00708008,-0.33399965
0.00720215,-0.26079412
0.00732422,-0.18605515
0.00744629,-0.11022221
0.00756836,-0.03374117
0.00769043,0.04293826
0.00781250,0.11936521
0.00793457,0.19509032
0.00805664,0.26966833
0.00817871,0.34266072
0.00830078,0.41363831
0.00842285,0.48218377
0.00854492,0.54789406
0.00866699,0.61038281
0.00878906,0.66928259
0.00891113,0.72424708
0.00903320,0.77495311
0.00915527,0.82110251
0.00927734,0.86242396
0.00939941,0.89867447
0.00952148,0.92964090
0.00964355,0.95514117
0.00976562,0.97502535
0.00988770,0.98917651
0.01000977,0.99751146
0.01013184,0.99998118
0.01025391,0.99657115
0.01037598,0.98730142
0.01049805,0.97222650
0.01062012,0.95143502
0.01074219,0.92504924
0.01086426,0.89322430
0.01098633,0.85614733
0.01110840,0.81403633
0.01123047,0.76713891
0.01135254,0.71573083
0.01147461,0.66011434
0.01159668,0.60061648
0.01171875,0.53758708
0.01184082,0.47139674
0.01196289,0.40243465
0.01208496,0.33110631
0.01220703,0.25783110
0.01232910,0.18303989
0.01245117,0.10717242
0.01257324,0.03067480
0.01269531,-0.04600318
0.01281738,-0.12241068
0.01293945,-0.19809841
0.01306152,-0.27262136
0.01318359,-0.34554132
0.01330566,-0.41642956
0.01342773,-0.48486925
0.01354980,-0.55045797
0.01367188,-0.61281008
0.01379395,-0.67155895
0.01391602,-0.72635916
0.01403809,-0.77688847
0.01416016,-0.82284978
0.01428223,-0.86397286
0.01440430,-0.90001589
0.01452637,-0.93076696
0.01464844,-0.95604525
0.01477051,-0.97570213
0.01489258,-0.98962202
0.01501465,-0.99772307
0.01513672,-0.99995764
0.01525879,-0.99631261
0.01538086,-0.98680940
0.01550293,-0.97150389
0.01562500,-0.95048607
0.01574707,-0.92387953
0.01586914,-0.89184071
0.01599121,-0.85455799
0.01611328,-0.81225059
0.01623535,-0.76516727
0.01635742,-0.71358487
0.01647949,-0.65780669
0.01660156,-0.59816071
0.01672363,-0.53499762
0.01684570,-0.46868882
0.01696777,-0.39962420
0.01708984,-0.32820984
0.01721191,-0.25486566
0.01733398,-0.18002290
0.01745605,-0.10412163
0.01757812,-0.02760815
0.01770020,0.04906767
0.01782227,0.12545498
0.01794434,0.20110463
0.01806641,0.27557182
0.01818848,0.34841868
0.01831055,0.41921689
0.01843262,0.48755016
0.01855469,0.55301671
0.01867676,0.61523159
0.01879883,0.67382900
0.01892090,0.72846439
0.01904297,0.77881651
0.01916504,0.82458930
0.01928711,0.86551362
0.01940918,0.90134885
0.01953125,0.93188427
0.01965332,0.95694034
0.01977539,0.97636973
0.01989746,0.99005821
0.02001953,0.99792529
0.02014160,0.99992470
0.02026367,0.99604470
0.02038574,0.98630810
0.02050781,0.97077214
0.02062988,0.94952818
0.02075195,0.92270113
0.02087402,0.89044872
0.02099609,0.85296060
0.02111816,0.81045720
0.02124023,0.76318842
0.02136230,0.71143220
0.02148438,0.65549285
0.02160645,0.59569930
0.02172852,0.53240313
0.02185059,0.46597650
0.02197266,0.39680999
0.02209473,0.32531029
0.02221680,0.25189782
0.02233887,0.17700422
0.02246094,0.10106986
0.02258301,0.02454123
0.02270508,-0.05213170
0.02282715,-0.12849811
0.02294922,-0.20410897
0.02307129,-0.27851969
0.02319336,-0.35129276
0.02331543,-0.42200027
0.02343750,-0.49022648
0.02355957,-0.55557023
0.02368164,-0.61764731
0.02380371,-0.67609270
0.02392578,-0.73056277
0.02404785,-0.78073723
0.02416992,-0.82632106
0.02429199,-0.86704625
0.02441406,-0.90267332
0.02453613,-0.93299280
0.02465820,-0.95782641
0.02478027,-0.97702814
0.02490234,-0.99048508
0.02502441,-0.99811811
0.02514648,-0.99988235
0.02526855,-0.99576741
0.02539062,-0.98579751
0.02551270,-0.97003125
0.02563477,-0.94856135
0.02575684,-0.92151404
0.02587891,-0.88904836
0.02600098,-0.85135519
0.02612305,-0.80865618
