Time, value
0.00012207,2.68197504
0.00024414,2.69269453
0.00036621,1.90459015
0.00048828,1.93838812
0.00061035,2.71434610
0.00073242,1.69428216
0.00085449,1.66745922
0.00097656,1.74134033
0.00109863,3.75132231
0.00122070,1.72328937
0.00134277,4.40592532
0.00146484,1.12916755
0.00158691,3.66038630
0.00170898,4.74630962
0.00183105,3.06224459
0.00195312,1.84622133
0.00207520,2.28289334
0.00219727,1.30204737
0.00231934,2.55118330
0.00244141,5.04593657
0.00256348,2.63770688
0.00268555,2.46704692
0.00280762,2.14803654
0.00292969,2.66497670
0.00305176,3.37462697
0.00317383,3.65039675
0.00329590,2.77920298
0.00341797,3.51545640
0.00354004,3.79943336
0.00366211,3.21225207
0.00378418,2.43927088
0.00390625,1.20246006
0.00402832,3.15681387
0.00415039,3.41416528
0.00427246,2.25531849
0.00439453,2.15701554
0.00451660,-0.37025373
0.00463867,2.09648333
0.00476074,3.21270873
0.00488281,1.48059446
0.00500488,1.72559940
0.00512695,-0.09557211
0.00524902,3.49289406
0.00537109,-0.05619463
0.00549316,1.55077157
0.00561523,-0.08203711
0.00573730,1.02550764
0.00585938,2.02776309
0.00598145,2.63450036
0.00610352,1.36545012
0.00622559,3.28907933
0.00634766,3.58010884
0.00646973,3.23861315
0.00659180,4.34720263
0.00671387,-0.04830729
0.00683594,-0.31937785
0.00695801,0.87837786
0.00708008,4.62191730
0.00720215,2.37626809
0.00732422,3.15121539
0.00744629,3.21204478
0.00756836,0.11978194
0.00769043,3.53136351
0.00781250,4.83550879
0.00793457,1.49181762
0.00805664,0.95334176
0.00817871,1.58571454
0.00830078,1.14860491
0.00842285,1.86462996
0.00854492,2.34610323
0.00866699,1.22170683
0.00878906,1.06046523
0.00891113,3.48709172
0.00903320,2.27897262
0.00915527,1.87433714
0.00927734,3.34971408
0.00939941,1.97557797
0.00952148,5.28363901
0.00964355,3.30700691
0.00976562,3.98303357
0.00988770,2.20234635
0.01000977,1.98982828
0.01013184,5.23986973
0.01025391,2.50470953
0.01037598,4.12396811
0.01049805,2.47625053
0.01062012,5.38356640
0.01074219,4.92622428
0.01086426,5.75815468
0.01098633,3.24399097
0.01110840,2.75330007
0.01123047,3.83857289
0.01135254,4.97216835
0.01147461,2.00042637
0.01159668,2.60523530
0.01171875,2.24113913
0.01184082,1.83384752
0.01196289,2.76174739
0.01208496,3.08873475
0.01220703,0.74975765
0.01232910,2.81275900
0.01245117,3.69440547
0.01257324,2.16671284
0.01269531,2.29935276
0.01281738,1.50476437
0.01293945,0.04508035
0.01306152,0.04160350
0.01318359,1.07911574
0.01330566,1.05182578
0.01342773,1.68986830
0.01354980,0.15575769
0.01367188,0.42123080
0.01379395,1.46375138
0.01391602,1.71924508
0.01403809,1.82552706
0.01416016,1.72465947
0.01428223,0.60743691
0.01440430,2.28493333
0.01452637,2.02344441
0.01464844,2.80822239
0.01477051,-0.00533068
0.01489258,1.26896146
0.01501465,3.24449401
